"","Donor1","Donor2","Donor3","Donor4","Donor5","Donor6","Donor7","Donor8","Donor9","Donor10","Donor11","Donor12","Donor13","Donor14","Donor15","Donor16","Donor17","Donor18","Donor19","Donor20","Donor21","Donor22","Donor23","Donor24","Donor25","Donor26","Donor27","Donor28","Donor29","Donor30","Donor31","Donor32","Donor33","Donor34","Donor35","Donor36","Donor37","Donor38","Donor39","Donor40","Donor41","Donor42","Donor43","Donor44","Donor45","Donor46","Donor47","Donor48","Donor49","Donor50","Donor51","Donor52","Donor53","Donor54","Donor55","Donor56","Donor57","Donor58","Donor59","Donor60","Donor61","Donor62","Donor63","Donor64","Donor65","Donor66","Donor67","Donor68","Donor69","Donor70","Donor71","Donor72","Donor73","Donor74","Donor75","Donor76","Donor77","Donor78","Donor79","Donor80","Donor81","Donor82","Donor83","Donor84","Donor85","Donor86","Donor87","Donor88","Donor89","Donor90","Donor91","Donor92","Donor93","Donor94","Donor95","Donor96","Donor97","Donor98","Donor99","Donor100","Donor101","Donor102","Donor103","Donor104","Donor105","Donor106","Donor107","Donor108","Donor109","Donor110","Donor111","Donor112","Donor113","Donor114","Donor115","Donor116","Donor117","Donor118","Donor119","Donor120","Donor121","Donor122","Donor123","Donor124","Donor125","Donor126","Donor127","Donor128","Donor129","Donor130","Donor131","Donor132","Donor133","Donor134","Donor135","Donor136","Donor137","Donor138","Donor139","Donor140","Donor141","Donor142","Donor143","Donor144","Donor145","Donor146","Donor147","Donor148","Donor149","Donor150","Donor151","Donor152","Donor153","Donor154","Donor155","Donor156","Donor157","Donor158","Donor159","Donor160","Donor161","Donor162","Donor163","Donor164","Donor165","Donor166","Donor167","Donor168","Donor169","Donor170","Donor171","Donor172","Donor173","Donor174","Donor175","Donor176","Donor177","Donor178","Donor179","Donor180","Donor181","Donor182","Donor183","Donor184","Donor185","Donor186","Donor187"
"ENSG00000225630.1_MTND2P28",0.4012,0.5493,-0.0528,-0.2689,-0.7454,0.6091,-0.3062,-0.2274,0.2875,-0.2111,-0.2036,-0.308,-0.3342,0.1567,0.0887,0.2108,-0.6671,0.3131,0.0018,2.3154,0.4235,0.6493,0.3768,-0.6971,0.4092,0.1087,-0.0981,-0.2859,0.0473,-0.2526,-0.9122,0.3942,-0.1932,-0.2883,0.0482,1.4458,0.3526,0.2897,-0.2343,0.3961,0.0036,0.1212,0.052,-0.2567,-5.2921,0.3435,-0.9327,-0.3418,-0.0625,0.4616,0.6335,1.7674,-0.0519,0.0936,0.0033,-0.0993,0.1362,-0.1481,2.1922,-0.0528,2.2762,-0.8659,-0.0823,-0.8646,0.6369,-0.6875,0.8558,0.5014,0.9904,-0.1205,0.5326,0.2375,-0.3713,0.196,1.3645,0.7363,-0.3006,0.9534,-0.7093,-0.3099,0.5409,2.3123,0.0756,-0.7643,0.2018,-0.952,2.4468,0.3948,-0.1994,1.5882,-0.3046,-0.6246,1.5585,0.2115,-0.0281,-0.1397,-0.0854,-0.5981,-0.4227,-0.1609,-0.0036,-0.0229,-0.6385,-0.0647,1.2365,0.226,-0.1249,-0.4834,0.6286,-0.4078,-0.3041,0.4125,-0.2912,-0.2824,-0.1102,1.0494,0.0678,0.4118,0.6215,-0.1901,-0.1137,-0.4219,2.2055,-0.1973,0.2211,-0.2824,-0.0235,-0.3773,-0.2945,-0.155,-0.7594,1.4436,-0.5201,0.039,-0.6165,-0.1488,-0.2289,1.1239,-6.473,0.748,-0.2921,-0.6255,-0.8504,-0.0199,-0.4002,-0.4314,-0.2306,0.1712,-0.2391,-0.2924,-0.7689,0.3336,-0.1759,0.3924,-0.1877,-5.9049,-0.1887,-0.0941,-0.2893,2.0948,-0.3555,-0.0704,0.1166,-0.0845,0.2539,-0.0374,-0.419,0.1644,0.0247,0.1678,-0.1975,0.4602,-0.313,-0.6053,1.9923,-0.9267,-0.325,0.194,-0.2212,-0.1861,0.6261,-1.0454,0.0989,0.2118,-0.3485,0.1838,-0.4375
"ENSG00000237973.1_MTCO1P12",-0.2338,0.4519,1.1048,0.155,-0.3682,-2.2485,4.8066,0.0406,0.7602,0.4894,-0.907,1.5524,-0.7459,0.5904,0.2846,-2.8231,-0.1383,-3.7704,0.8139,0.3731,0.5112,0.8644,5.3172,-1.3327,-2.4734,-0.0543,0.9254,-1.0162,0.1199,-0.1576,-1.777,-0.1571,-0.1607,-0.9745,-0.3172,4.2548,0.3611,0.7554,1.1397,-2.3334,-0.0894,0.0335,0.0087,-0.6151,-2.5773,-0.2769,0.0696,0.1035,-1.1959,-1.7499,0.6935,-0.7011,0.0794,0.3122,-0.3394,0.9071,0.1075,0.8982,-0.5566,-0.3273,-0.635,-1.1616,0.031,-0.7081,-3.0575,4.6586,-0.5938,-0.0035,-2.5086,-0.2079,-2.142,-0.2115,-0.2593,-0.1683,-0.2473,-1.4324,-0.5871,-1.0695,-1.339,-0.166,0.2587,0.3627,0.3011,-1.0598,0.0514,-1.2038,0.7248,4.243,-0.3222,-0.5648,0.7346,0.4158,-2.3161,0.0666,0.2197,-0.1705,0.0694,-0.1062,-0.0454,0.1121,-1.0357,0.8357,-0.5772,1.7366,0.9445,1.2567,-2.8589,-0.5723,1.459,1.3679,-3.4128,5.363,-0.0271,-0.3012,0.3902,-0.4974,4.2471,0.0933,-0.6459,-0.3128,-0.2636,-0.549,-0.1767,-0.3973,-1.6342,-0.0699,-0.1414,-0.8119,-0.3617,-1.0389,-0.6369,-0.8525,-1.3829,-0.096,-0.5799,-0.1023,-1.1389,-1.3322,-1.7422,-0.8146,1.2252,-0.9351,1.7864,-0.2442,-0.4531,-0.2998,-0.3254,-0.1238,-0.1684,-0.6716,-0.7301,2.0075,-0.9179,5.0293,-0.0817,-0.8283,-0.6516,-0.4874,0.0887,-0.2597,-0.1258,-2.4304,-0.2109,1.0707,5.387,-1.1644,0.0402,-0.4384,-0.3171,2.4728,0.3245,-0.1772,-0.4133,-0.4582,1.7922,-0.8572,4.8992,-0.0133,0.143,-0.3703,-0.1298,-0.4535,5.038,0.0401,2.2534,0.0869,-0.7057
"ENSG00000248527.1_MTATP6P1",0.3931,0.6248,0.1569,0.2759,-0.0219,-0.261,0.9416,0.1403,0.4783,0.1979,-0.2309,0.2058,-0.4465,0.3952,0.5382,-0.8682,-0.1046,0.133,0.051,0.7799,0.1976,0.8162,1.5658,-0.6834,-0.2576,0.2139,0.2777,-0.145,0.0874,-0.0361,-0.93,0.2998,0.1994,-0.323,0.0602,0.5924,0.2713,0.461,-0.1786,-0.9033,0.2735,0.4454,0.415,0.3015,0.4184,0.2445,-0.6196,0.3117,-0.5035,0.2659,1.0546,0.0504,0.1794,0.3731,0.1979,-0.2228,0.3159,0.165,0.1137,0.0218,0.1053,-0.9219,-0.2875,-1.0933,0.6631,0.3135,0.2447,0.0066,-0.1578,-0.3616,0.2434,-0.3544,-0.393,0.2154,-0.6689,-0.2844,-0.2657,-1.1726,-1.1905,-0.0118,-0.0936,0.3708,-0.2969,-0.2062,0.1879,-0.5851,1.296,0.9301,-0.195,-0.3555,-0.4169,-0.0329,1.1972,0.183,-0.16,-0.2766,-0.2214,-0.6354,-0.3365,0.0977,-0.1557,-0.4137,-0.1219,0.0406,1.0399,0.2784,-0.7366,-0.5532,0.7026,-0.3347,-0.8223,0.9295,-0.3114,-0.0293,-0.2361,-0.6171,0.7244,0.5305,-0.1036,-0.0272,-0.3172,-0.004,0.3869,0.258,0.1902,0.1767,0.2312,-0.0389,-0.2735,0.1565,-0.2618,0.9902,-0.6732,-0.0907,-0.366,-0.1448,-0.9088,0.323,-7.9758,0.0085,0.0357,-0.1711,-0.3936,-0.0321,-0.2422,-0.3516,0.2215,0.3661,0.1858,-0.3968,-0.8751,0.8513,-0.5715,1.3029,-0.0348,-0.1595,-0.4689,0.1726,0.3143,0.2625,0.3612,-0.0909,0.1044,0.2028,1.4935,-0.2478,0.2496,-0.1254,0.0164,0.5781,0.2632,0.0776,0.0312,0.0493,0.0909,-0.8441,1.0399,0.482,-0.0211,-0.1799,0.5549,-0.5149,0.8619,0.4367,-0.4013,0.1991,0.0215
"ENSG00000198744.5_MTCO3P12",2.1816,0.9228,-0.427,1.8444,0.0125,-0.2196,0.8296,-0.3639,0.8746,-0.4433,1.35,0.3064,-0.5334,0.8579,0.5065,-0.3459,-0.1338,1.7268,1.662,2.1745,0.6759,0.3533,3.3889,1.314,0.4125,2.7165,0.4814,-0.6436,2.0258,-0.6791,-1.4355,-0.4175,2.6491,-0.8785,-0.6085,-0.5703,2.38,-0.1539,1.4178,-0.7579,-1.1758,2.9705,0.8863,-0.8392,-0.5745,-0.9211,-1.8805,0.9045,-1.7173,-0.4479,0.2056,-1.2034,-1.149,6.0015,-1.3428,-0.9178,0.8529,-0.5195,1.2495,-1.4836,1.6595,-0.4215,-0.7579,-2.1199,-0.0298,-1.2686,-0.8622,-0.8847,0.1845,-0.8923,0.0169,0.9192,-1.0129,6.1011,0.6154,0.6446,0.2507,-1.124,-2.6737,-1.069,0.7079,0.2459,1.8878,-1.5343,0.4171,2.5716,1.9619,-0.4059,-0.625,-1.0898,-1.4205,0.0144,-0.1028,-0.35,0.3459,-0.805,0.2731,-1.3697,0.3026,-0.5027,-1.0435,3.8299,-1.3903,-1.1163,-0.3737,2.5748,-1.922,-1.2483,-0.2741,-1.0203,-2.0541,0.0013,2.0874,-0.5239,1.0815,-0.7046,-1.3216,-0.2534,-1.2281,-0.4539,-1.2365,5.4201,-1.0708,-0.6222,-1.4253,-0.5226,-0.6479,-0.7434,-0.593,1.7772,-1.2416,1.3352,-1.6236,-0.1813,0.2516,-0.6497,-1.2486,-0.7254,-2.4007,-0.7966,-1.0784,-1.3442,-1.2843,-0.4469,-0.9805,-0.6545,-0.546,-0.8163,-0.9391,-1.1861,-1.3885,0.1001,1.0828,0.0089,-0.5395,-1.0607,-1.4894,-1.0014,-0.9046,-0.5303,-0.9752,-1.5079,-0.5246,-0.665,2.6334,-0.7568,-0.6229,-0.3533,-1.076,-0.0029,0.0339,1.7496,-0.4491,-0.3403,-0.2909,1.3663,-0.4111,0.1334,-0.0633,-0.071,1.8943,-0.4077,3.1392,2.2093,0.1348,0.7512,0.6205
"ENSG00000188157.14_AGRN",0.5879,-0.658,-0.351,0.2337,0.4567,0.2291,0.1753,-0.0795,-0.0106,-0.0156,0.1459,0.4076,-0.1589,-0.5071,-0.5157,0.5467,-0.1521,-0.0861,-0.0107,-0.3345,0.1825,-0.0315,-0.0546,0.0868,0.3235,-0.2915,-0.0446,0.3637,-0.5143,0.1197,0.618,-0.1402,0.2359,-1.2485,0.4045,0.3032,-0.1417,-0.4434,0.2753,0.7077,0.0719,-0.5527,-0.622,-0.4506,-0.4358,-0.4079,0.8296,0.0146,-0.4102,1.4745,-0.508,0.1283,-0.4573,-0.342,-0.6011,-0.522,-0.3062,-0.4756,0.0907,-0.1826,-0.5655,0.354,-0.6061,0.2153,-0.136,0.3882,-0.2045,-0.1166,-0.5799,0.725,-0.468,0.4837,-0.0894,0.5306,-0.2152,-1.4137,0.2738,-0.6962,-0.1063,-0.2292,-0.4586,0.393,0.579,-0.1888,-0.571,2.4818,-0.3409,0.5119,0.2148,-0.1102,-0.373,0.2263,-0.2101,-0.0193,0.0558,0.3102,0.0063,0.255,0.7241,0.2522,-0.1201,-0.0962,-0.0422,-0.4525,-0.0134,0.3306,1.2027,-0.1765,-0.0034,0.2456,0.596,-0.0926,0.0127,-0.384,-0.6395,-0.0934,-0.7614,0.2327,0.6843,0.2776,-0.5478,0.4551,0.3831,-0.2259,0.1522,0.591,0.2855,-0.1273,-0.4352,0.3641,0.3033,-0.6265,0.5507,1.3003,-0.0048,0.1449,-0.1403,-0.2475,-0.7783,0.8512,0.0881,-0.1899,0.5847,-0.249,0.2019,-0.2308,-0.1056,0.2182,0.4208,0.6685,0.4568,-0.1097,-0.2422,0.114,-0.2653,-0.1902,-0.3899,-0.3574,-0.4365,0.0982,0.5521,0.3489,-0.389,0.1992,-0.1686,-0.4869,0.0206,0.7327,0.2388,-0.5617,0.0448,-0.37,0.1292,0.2957,-0.0238,0.1576,0.0347,-0.572,-0.1782,-0.0486,0.26,-0.4121,-0.03,-0.3765,0.2,-0.8128,-0.0559
"ENSG00000162572.20_SCNN1D",-0.2803,0.4729,0.1385,-0.5918,-0.1213,0.4143,0.0161,-0.0727,0.2602,0.2444,-0.6539,-0.9348,-1.0628,0.4135,-0.1181,0.1994,-0.357,-0.343,-0.3432,0.6366,-0.5634,0.2831,0.3434,-0.3112,0.8833,-0.1857,0.7307,0.1584,-0.5011,0.404,-0.6887,-0.2072,-0.0417,-0.4578,-0.5974,-0.0715,0.1612,-0.116,0.3233,1.3653,0.4583,0.2166,0.7678,0.1845,0.3195,-0.2893,-0.2105,-0.4045,-0.3153,0.885,0.2923,-0.0799,-0.6252,-0.3451,-0.3701,-0.1389,0.3712,-0.4942,-0.4214,0.207,0.3377,0.1552,-0.2238,-0.196,0.8802,0.342,1.187,0.1522,0.6618,0.7866,0.2333,0.2906,-0.223,0.2001,-0.346,-0.9227,-0.6858,-0.4185,-1.0654,0.256,-0.6025,-0.117,-0.28,-0.3151,-0.1462,-0.7893,1.0974,0.9614,0.4855,0.4212,-1.681,0.6386,0.6976,-0.9013,-0.2172,-0.2756,0.9006,-0.8484,-0.6946,-0.076,0.2735,0.4109,0.4898,-0.7875,0.1422,0.2772,0.4833,0.4985,0.2507,-0.6612,0.8988,-0.1072,-0.9471,-0.0595,-0.292,0.3242,-0.3079,0.051,1.1272,0.6289,0.3836,0.2208,-0.1065,-0.1651,0.6868,-0.1476,-0.1312,0.0809,-0.9509,0.6903,-0.0176,-0.8782,0.1035,1.0295,-0.4938,0.4823,0.1701,-0.0148,0.2303,0.8534,-0.1855,-0.6057,0.4044,0.306,0.6912,0.1143,0.3611,0.6855,0.4046,0.655,-0.7387,0.1497,0.657,-0.5426,0.3087,0.2852,-0.4099,0.211,-0.0032,0.2055,0.7894,-0.318,0.5367,0.3184,0.0556,-0.8061,-0.0303,-0.1839,-0.1014,-0.0888,0.0401,0.0426,-0.0566,-0.1465,-0.815,0.3226,0.0231,0.0153,-0.8721,-1.6891,-0.056,-0.4716,-0.8506,-0.1849,-0.8717,-0.2775,-0.4926
"ENSG00000162576.16_MXRA8",0.2383,-0.0915,-0.2348,-0.162,0.0172,1.1147,-0.4353,0.1056,0.4398,0.3769,0.5947,0.3842,-0.9743,-0.5705,-0.1749,0.5895,-0.535,0.1658,0.0025,-0.2056,-0.1157,0.4178,-0.1778,0.2264,0.2672,-0.1334,0.6636,-0.2165,0.3393,-0.3403,-0.2808,-0.5679,0.2156,-0.1854,0.2865,0.1311,0.3639,-0.267,1.2919,0.5588,0.1773,6e-04,0.4171,-0.2127,-0.1846,0.1184,-0.2358,0.4894,0.0994,1.3889,-0.4425,-0.285,-0.439,0.1023,-0.0734,0.0554,-0.2867,-0.4838,0.7561,0.1973,-0.0543,-0.5981,-0.9483,-0.2777,0.6463,0.7548,-0.0412,-0.3396,0.0831,0.5755,0.5682,-0.0723,0.245,1.0811,-0.6641,-0.388,-0.0686,-0.7255,0.0968,0.3825,-0.7585,-0.289,0.6561,-0.4992,-0.2076,2.6253,0.3867,0.1004,-0.2042,0.0721,-0.4503,0.006,0.608,0.2705,0.1737,-0.5788,0.4776,-0.0966,0.0891,0.3792,0.2334,0.5872,0.1812,-0.2389,0.3123,-0.2842,0.7864,-0.0982,0.7074,0.112,0.324,0.1443,-0.1005,-0.5632,-1.1628,-0.9037,-0.7702,-0.2292,-0.6998,-0.1824,0.7206,0.3313,-1.0295,-0.3273,0.5604,-0.6774,0.1159,0.4529,-0.2846,-0.1282,-0.2204,-0.2375,-0.185,0.5795,0.2551,-0.4327,-2.0621,-0.0174,-0.3608,0.4921,0.4815,0.0679,0.0566,0.2724,-0.5221,0.8884,-0.807,0.0985,0.1635,-0.0226,-0.1643,0.8738,-0.3581,-0.0151,-0.1701,0.7521,-0.4639,0.0135,-0.0021,0.0535,-0.1612,-0.4809,-0.3643,-0.489,-0.4711,0.2733,-0.2325,0.1964,0.063,0.1888,0.1048,-0.5122,-0.4211,0.0321,-0.5852,0.0739,-0.2432,0.066,-0.2158,0.2979,-0.5421,-0.5672,-0.1863,0.0657,-0.2513,0.0815,0.0867
"ENSG00000179403.11_VWA1",0.9063,-0.2496,-0.2108,0.3185,0.6597,0.4606,-0.1182,0.2434,-0.1152,0.3428,0.0906,0.2277,0.5441,-0.9104,-0.0974,1.3844,-0.1397,0.4812,-0.1544,-0.1874,-0.6003,0.0496,-0.0744,-0.2244,0.8901,-0.2826,-0.5641,0.0704,-0.3613,-0.4085,0.0588,0.1243,0.6073,0.1917,-0.4041,-0.4911,-0.7574,-0.4914,-0.571,0.0314,-0.2048,-0.7335,-0.447,-0.4797,0.0274,0.1229,0.0544,0.3414,-0.0755,1.5777,-0.4403,0.1507,0.3065,-0.5302,-0.7951,0.0041,0.2557,0.0253,-0.2634,0.3812,0.599,-0.3052,-0.3181,-0.5361,0.2689,-0.7506,0.0942,0.0461,0.4478,1.1887,0.1215,-0.2792,-0.7006,0.7544,-0.6841,-0.0049,-0.6552,-0.4275,-0.3175,0.1055,-0.5586,-0.0819,-1.3025,-0.0538,-0.2356,0.5673,0.4792,1.1812,-0.2154,-0.2309,-0.2143,-0.8202,0.6836,-0.0032,-1.1759,-0.3744,-0.7648,-0.9118,-0.3358,-0.0136,0.239,-0.3516,-0.5079,-0.2159,0.843,-0.1291,-0.2419,-0.3494,0.007,0.3955,2.0294,-0.0166,-0.7507,0.3133,-0.4064,-0.5933,-0.4458,-0.678,-0.363,0.0114,0.7809,0.5644,0.1115,-0.5292,0.1188,-0.3509,-0.0212,-0.6817,-0.328,0.4455,0.0192,0.5421,0.3019,1.6109,0.227,0.3183,0.1309,0.5285,0.5353,1.0085,-0.3853,-0.0693,0.2963,-0.9754,0.2579,0.6615,0.3849,0.6014,0.7653,0.2045,-0.143,-0.1945,0.2717,-0.0856,0.6738,0.4451,-0.1405,-0.657,0.2609,0.7773,-0.0193,0.2727,-0.1939,-0.5155,0.7369,-0.0035,0.665,0.0267,-0.012,-0.1437,-0.0451,-0.6486,0.7545,-0.0583,-0.3213,-0.0466,-0.4411,0.3206,0.0539,0.2221,-0.7502,-0.2552,-0.0881,-0.8328,0.4717,-0.4708,0.4377
"ENSG00000160072.19_ATAD3B",-0.1296,0.3255,-0.1428,-0.1099,-0.5446,0.7724,0.1088,-0.0472,-0.0348,0.2378,-0.1299,-0.2763,-0.2477,-0.4624,-0.283,1.0264,-0.2029,0.4468,-0.14,0.2456,-0.0655,0.2427,-0.2449,0.0753,0.8714,-0.2649,0.4624,0.0265,-0.2988,-0.4782,0.1731,0.0299,0.0644,0.2962,-0.2679,0.2201,-0.1817,0.2361,-0.034,1.0797,-0.2555,-0.0947,-0.0223,-0.5918,1.1114,-1.0194,-0.2083,-0.1749,-1.0084,0.5169,0.268,-0.049,-0.7554,-0.6758,-0.0582,-0.3274,-0.2349,-0.264,-0.4147,-0.2199,-0.2118,0.3052,0.2133,-0.4143,0.7251,-0.3225,0.1093,-0.2257,0.1371,0.9254,0.3899,-0.009,-0.2812,-0.1723,-0.5636,3.0711,-0.6134,0.1982,-0.5205,-0.0334,-0.1518,0.0435,-0.4137,0.4387,-0.387,0.179,1.547,0.2394,0.0087,-0.511,-0.0843,-0.1295,0.9901,-1.0903,-0.3021,-0.2473,0.4881,-0.686,-0.752,-0.2321,0.0683,0.2827,-0.1326,-0.0351,0.504,0.2809,0.572,-1.7404,0.182,-0.3271,1.5196,-0.2325,-0.4388,0.0242,-0.0473,-0.2506,0.0201,0.138,0.4195,0.1529,0.1047,-0.2244,0.2017,0.1287,0.8069,-0.0036,0.1994,-0.1344,0.2219,0.3696,0.0576,3.1714,0.4211,0.0344,-0.3223,-1.0154,0.6367,3.4005,0.0072,0.8795,0.1929,0.254,-0.2291,-0.2311,-0.3158,0.1544,-0.1036,-0.1794,-0.0606,-1.0021,0.0065,0.3318,0.2266,0.3771,-0.1552,0.324,-0.4544,-0.5795,0.5122,0.1393,-0.3023,0.2281,0.0189,-0.4702,0.013,-0.0111,-0.2545,-0.3369,-0.6055,0.1583,-0.2159,-0.7663,0.034,-0.2734,-0.3582,0.1156,-0.4645,-1.4166,-0.7329,-1.2338,-0.0016,-0.2846,-0.4299,-0.5768,-0.0928,-0.4199,0.0404
"ENSG00000228594.3_FNDC10",-0.1813,0.2873,-0.3345,0.4958,-0.2621,0.2621,0.4441,-0.1192,0.62,-0.1389,-0.0237,-1.0996,-0.4084,-0.2889,0.1038,0.235,-0.68,0.6979,-0.5437,0.0871,-0.4896,0.1703,0.2319,-0.3015,0.6678,0.0506,0.0673,0.1225,-0.5178,-0.12,-0.4844,-0.9815,0.2436,-0.2967,0.1976,0.4177,0.2767,-0.0852,0.1406,0.7264,0.23,0.4892,0.1952,0.2836,1.42,0.4839,-0.8156,-0.0813,-0.2042,0.5437,0.2727,0.4616,-0.4082,-0.4798,0.1255,0.1087,0.2075,-0.5745,-0.0222,-0.0109,-0.3716,-0.4738,-0.2085,-0.8144,-0.481,0.2235,0.6983,0.6159,0.7884,-0.349,0.7904,-0.0672,-0.7195,-0.8566,0.4787,-2.4294,0.1599,-0.4453,-0.71,0.4169,-0.1311,-0.6647,-0.7555,-0.3516,-0.3307,-0.333,1.2108,0.2313,0.5985,0.226,-1.5965,-0.3363,0.8329,-0.0603,-0.2196,0.3337,-0.0832,-0.3318,0.1252,-0.2532,0.5831,0.2138,0.188,0.026,-0.4366,-0.0964,-0.0026,0.0122,-0.1712,-0.5308,-0.6035,0.2796,-0.5274,0.6943,0.1042,0.3067,0.0593,0.5433,0.5854,-0.0342,0.2745,0.7003,-0.0765,0.2475,0.2388,0.2761,-0.0536,-0.1159,-0.7723,-0.4245,0.4317,-0.024,-0.4184,-0.0489,-1.3874,0.4091,-2.0043,0.7605,0.2304,0.5338,-0.3839,-0.2501,0.0072,0.0088,0.5388,0.1928,0.3773,0.7759,0.4952,0.2713,-0.2256,0.5877,0.3953,-0.6469,0.4667,0.4115,-0.8741,-0.3414,0.4183,0.4635,0.6921,0.0233,0.4371,-0.1537,0.6438,-0.2679,-0.4851,0.9887,-0.1117,0.4166,-0.1176,0.4484,0.5192,0.1211,-0.6676,0.059,-0.1999,0.0315,0.0654,-0.167,-0.0872,0.0739,-0.6918,0.3829,-0.287,-0.457,0.3614
