"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26","Sample27","Sample28","Sample29","Sample30","Sample31","Sample32","Sample33","Sample34","Sample35","Sample36","Sample37","Sample38","Sample39","Sample40","Sample41","Sample42","Sample43","Sample44","Sample45","Sample46","Sample47","Sample48","Sample49","Sample50","Sample51","Sample52","Sample53","Sample54","Sample55","Sample56","Sample57","Sample58","Sample59","Sample60"
"Gene1",0.165,0.2968,2.1079,-1.3739,0.9424,-0.3148,-1.4113,-0.6159,0.1184,0.1383,-0.2932,0.8558,0.8028,-0.2143,0.5732,-0.2052,0.7172,-0.3002,-0.3154,-0.5439,-0.6323,0.9339,0.6676,0.4662,-0.547,-0.4976,0.7375,0.9408,-0.2255,0.4073,-0.0545,1.5242,0.7926,-0.3073,-0.7819,5e-04,-0.1989,0.7761,0.7976,-1.301,-0.1158,0.3183,-1.0878,1.9389,0.0964,-1.3021,1.3219,1.3841,-1.0983,0.0208,0.733,0.213,-0.3116,-1.0081,1.0619,0.4002,0.5679,-0.5223,1.9776,0.7946
"Gene2",-0.4484,-0.8685,-0.2884,-0.6204,-0.7309,-0.833,0.4876,-0.6944,1.1187,-0.5405,-0.7895,-0.2017,-0.3931,-0.2212,0.592,0.2817,0.2867,0.7644,-0.6686,-0.5166,0.1051,-1.4704,-1.329,-0.4964,-0.2882,-0.1518,0.5531,-0.4943,-0.6375,0.4735,0.1885,0.5162,-0.5618,0.3116,0.9242,-0.6761,0.0811,-0.2446,0.3829,-0.1867,0.6569,0.4058,1.1087,-0.1216,-0.0905,-0.9047,0.2168,-0.3462,0.4097,-0.4896,-0.4041,-0.7462,-0.3712,-0.1933,-0.1416,-0.1158,0.4747,-1.4142,0.2921,0.7034
"Gene3",-0.085,-0.0163,0.1833,-1.1944,1.1128,-0.0254,0.0699,-0.4155,0.3629,-0.5502,-1.6009,-0.1452,0.3396,0.9662,0.109,0.1242,-0.4464,0.926,0.0343,0.6395,-0.5839,-0.3919,0.7077,1.1816,1.8458,0.1623,-0.5283,-0.8483,1.2308,1.1769,-0.0968,0.518,-0.5371,-0.9279,0.3744,1.0086,-1.8288,0.7601,0.5005,-0.6172,-0.5809,1.147,1.2568,-0.0704,-1.5331,-1.1315,0.4361,-1.3119,-0.0282,-0.9975,1.6984,-0.4356,-0.0478,-0.5115,-0.5174,1.0443,-0.7107,-0.6595,-0.7999,-0.1762
"Gene4",0.0359,-0.0672,0.5651,-0.5878,-0.1495,-0.1227,-0.2722,0.1304,0.1676,0.2221,-0.358,0.1693,0.3881,0.3565,-0.3747,-0.1136,-0.2099,-0.1577,-0.2281,-0.357,-0.3466,0.1284,0.194,0.0419,-0.2801,0.2965,0.1223,-0.1906,0.241,0.2567,-0.149,-0.1298,0.3724,-0.0459,-0.1185,0.4322,0.0048,-0.3462,-0.1801,-0.1487,0.0097,0.1366,-0.0846,0.1577,0.4731,-0.2762,-0.4584,-0.1837,-0.2027,-0.2734,-0.1038,0.189,-0.4589,-0.3679,-0.0684,0.4257,0.0613,0.1999,0.3588,0.5088
"Gene5",0.02,0.2055,-0.273,0.4381,0.0205,0.0594,0.1652,-0.0425,0.5925,0.5118,0.2657,-0.0214,-0.3548,0.2052,-0.3896,0.2878,0.2431,0.1803,-0.0018,-0.1351,0.1421,-0.4697,0.0322,0.4246,0.3365,-0.4074,-0.1504,0.594,0.3197,-0.2309,-0.0141,0.1356,0.1295,0.3327,0.2107,0.0551,0.0444,0.1829,-0.3269,0.2514,-0.0955,0.0897,-0.2511,-0.0856,-0.7524,0.6939,0.6626,-0.69,-0.1226,0.0383,-0.3015,-0.2646,0.2242,-0.4219,0.0352,0.4023,0.6202,0.5959,-0.1833,-0.1279
"Gene6",0.4068,-0.3877,0.1138,-0.1472,-0.4083,-0.9231,-0.2706,0.6565,0.3277,0.464,-0.2684,0.0187,-0.6536,0.1968,-0.1132,0.3644,-0.0738,-0.3898,-0.5799,-0.0917,-0.3967,0.6255,0.1488,0.5277,-0.1091,0.088,-0.0408,0.041,-0.124,-0.2036,0.3239,-0.5987,0.2269,-0.2226,-0.453,0.8161,-0.3982,-0.0487,-0.4415,-0.2632,-0.1128,-0.5685,-0.2645,0.0135,0.4234,-0.0931,0.5145,0.1697,-0.136,-0.045,0.1178,-0.442,1.0571,-0.1316,0.2217,0.1787,0.2377,0.4116,0.128,-0.7307
"Gene7",-0.1756,-0.3246,0.1505,-0.008,0.1496,-0.3676,-0.763,-0.133,0.5284,0.5068,0.3339,0.2433,0.3157,-0.0129,-0.081,-0.0813,-0.1705,-0.3875,-0.3504,0.0157,-0.0103,-0.1479,0.0912,-0.3433,0.5094,-0.2463,-0.0125,0.2044,0.1885,0.1713,0.1929,-0.3861,0.0198,0.1686,0.4352,0.3234,0.0902,-0.3164,-0.3297,-0.166,-0.2672,-0.0056,-0.1073,-0.0843,0.2045,0.2397,-0.2604,0.4602,-0.3691,0.4398,-0.0406,0.1418,0.3322,0.0877,0.1087,-0.1115,0.0033,-0.3654,-0.316,-0.2066
"Gene8",0.0538,0.1269,-0.3929,-0.4438,-0.0305,-0.0639,0.5825,0.0694,0.4879,1.0395,0.6011,0.4117,0.3918,-0.2445,0.1742,-1.035,-0.3618,-0.1705,0.6343,-0.3141,0.3459,0.4474,0.7016,-0.0627,-0.5758,-0.0952,0.4132,-0.3935,-0.0518,0.0777,-0.1111,-0.2397,0.0578,-0.3377,-0.4843,0.3624,-0.3161,0.2751,0.161,0.061,-0.0265,0.8518,0.2074,-0.452,-0.4132,-0.4856,-0.9691,-0.4902,0.0957,0.4495,1.0574,-0.5688,-0.5504,0.3266,0.2873,-0.2277,-0.0186,0.2293,-0.1995,0.8166
"Gene9",0.1365,-0.1187,-0.1927,0.5072,0.287,-0.0671,-0.5148,0.0782,-0.0356,0.1315,0.2562,-0.0889,0.1085,-0.0415,-0.2006,0.1612,0.0523,0.0473,0.1177,-0.1228,-0.0282,-0.3132,-0.2066,0.1794,0.6372,-0.3753,0.4287,-0.0122,-0.157,0.1714,0.1548,-0.0857,0.4715,0.1929,0.4749,0.0979,0.2222,0.2892,-0.1328,-0.2026,0.2928,-0.0831,0.1272,0.3698,-0.0559,-0.1921,0.171,-0.0018,-0.1693,-0.0053,0.3688,-0.1674,0.645,0.004,-0.0694,-0.4408,0.1993,-0.3839,0.1008,-0.5999
"Gene10",0.12,-0.2193,-0.6134,0.2592,-0.6702,0.0013,0.9818,-0.4137,0.2605,-0.2075,0.4894,0.3319,0.2909,-0.5748,0.3811,0.0161,-0.0907,0.1393,0.3017,0.5125,-0.086,-0.3745,-0.8852,-0.3707,-0.4071,0.3413,0.4867,-0.3876,0.2003,0.0166,-0.9246,0.7148,-0.364,-0.473,0.3023,-0.4696,0.8675,0.0479,0.35,0.2227,-0.4769,0.4369,0.1907,-0.478,-0.4723,0.1799,-0.6317,-0.3888,-0.7777,-0.091,0.0122,0.6469,-0.1852,-0.4144,0.2636,-0.8379,0.2472,0.0259,-0.5854,0.3
