"species","dataset","tissue","condition","n","ngenes","design","assay","sample_type","accession","citation","license","file","status","note"
"human","GTEx","Adrenal","All",295,10432,"passive","RNAseq","in_vivo","GTEx_v10","GTEx Consortium 2020","dbGaP/Open","human/GTEx_Adrenal_All.rds","ingested",NA
"human","GTEx","Liver","All",262,8873,"passive","RNAseq","in_vivo","GTEx_v10","GTEx Consortium 2020","dbGaP/Open","human/GTEx_Liver_All.rds","ingested",NA
"human","GTEx","Adrenal_vs_Liver","All",NA,5000,"passive","RNAseq","in_vivo","GTEx_v10","GTEx Consortium 2020","dbGaP/Open","human/GTEx_AdrVsLiver_All.rds","ingested",NA
"human","GTEx","Adrenal_vs_Liver","Paired",NA,8059,"passive","RNAseq","in_vivo","GTEx_v10","GTEx Consortium 2020","dbGaP/Open","human/GTEx_AdrVsLiver_Paired.rds","ingested",NA
"human","GSE160521","NAc_Caudate_Putamen","Control",NA,14540,"passive","RNAseq","in_vivo","GSE160521","Ketchesin et al. 2021 (PNAS)","CC-BY","human/GSE160521_3Region_Control.rds","ingested",NA
"human","GSE160521","Caudate","Control",NA,15041,"passive","RNAseq","in_vivo","GSE160521","Ketchesin et al. 2021 (PNAS)","CC-BY","human/GSE160521_Caudate_Control.rds","ingested",NA
"human","GSE160521","NAc","Control",NA,15330,"passive","RNAseq","in_vivo","GSE160521","Ketchesin et al. 2021 (PNAS)","CC-BY","human/GSE160521_NAc_Control.rds","ingested",NA
"human","GSE160521","Putamen","Control",NA,14866,"passive","RNAseq","in_vivo","GSE160521","Ketchesin et al. 2021 (PNAS)","CC-BY","human/GSE160521_Putamen_Control.rds","ingested",NA
"human","GSE160521","NAc_vs_Putamen","Control",NA,14587,"passive","RNAseq","in_vivo","GSE160521","Ketchesin et al. 2021 (PNAS)","CC-BY","human/GSE160521_NAcVsPutamen_Control.rds","ingested",NA
"human","GSE160521","Putamen","Control_vs_SCZ",NA,14866,"passive","RNAseq","in_vivo","GSE160521","Ketchesin et al. 2021 (PNAS)","CC-BY","human/GSE160521_Putamen_CtrlVsSCZ.rds","ingested",NA
"human","GSE71620","BA11_BA47","Younger",NA,19998,"passive","microarray","in_vivo","GSE71620+CMC","Chen et al. 2016 (PNAS)","CMC restricted","human/GSE71620_BA11BA47_Younger.rds","ingested",NA
