"species","dataset","tissue","tissue_canonical","design","condition","n","ngenes","tod_min","tod_max","tod_sd","tod_n_unique","tod_cycles","tod_step_hr","tod_phases","r_median_top300","r_q25_top300","r_q75_top300","prop_rhythmic"
"human","GTEx","Adrenal","Adrenal","passive","All",187,10432,0.4,23.4,5.98,24,1.04,"1","0.43..23.4 (24 phases)",0.961,0.919,1.025,0.4009
"human","GTEx","Liver","Liver","passive","All",154,8873,1.4,23.4,5.29,22,1.21,"irregular","1.43..23.4 (22 phases)",0.475,0.448,0.51,0.0946
"human","GSE160521","Caudate","Caudate","passive","Control",59,49135,1.1,23.9,5.71,59,0.95,"irregular","1.07..23.9 (59 phases)",0.799,0.771,0.867,0.1855
"human","GSE160521","NAc","Nucleus accumbens","passive","Control",59,51118,1.1,23.9,5.71,59,0.95,"irregular","1.07..23.9 (59 phases)",1.522,1.353,1.735,0.2081
"human","GSE160521","Putamen","Putamen","passive","Control",59,49156,1.1,23.9,5.71,59,0.95,"irregular","1.07..23.9 (59 phases)",1.002,0.961,1.054,0.2766
"human","GSE71620","BA11_BA47","BA11+BA47 PFC (Combined)","passive","Younger",62,19998,1.4,21.2,5.85,31,0.95,"irregular","1.37..21.2 (31 phases)",0.844,0.753,0.93,0.1976
"baboon","GSE98965","COR","Cornea","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",2.276,2.166,2.49,0.1788
"baboon","GSE98965","ONH","Optic nerve head","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.795,1.696,1.979,0.0494
"baboon","GSE98965","RET","Retina","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.853,1.731,2.114,0.0338
"baboon","GSE98965","RPE","Retinal pigment epithelium","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.96,1.837,2.2,0.0838
"baboon","GSE98965","ADC","Adrenal cortex","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",2.235,2.134,2.48,0.1977
"baboon","GSE98965","ADM","Adrenal medulla","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",2.515,2.342,2.731,0.2339
"baboon","GSE98965","PIN","Pineal gland","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.858,1.736,1.957,0.0073
"baboon","GSE98965","PIT","Pituitary","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.863,1.716,2.096,0.0111
"baboon","GSE98965","THR","Thyroid","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",3.129,2.904,3.474,0.3445
"baboon","GSE98965","LUN","Lung","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.895,1.797,2.05,0.0834
"baboon","GSE98965","AXL","Axillary lymph nodes","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.882,1.741,2.137,0.0431
"baboon","GSE98965","BOM","Bone marrow","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.79,1.705,1.923,0.0065
"baboon","GSE98965","MEL","Mesenteric lymph nodes","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.831,1.716,2.001,0.0051
"baboon","GSE98965","SPL","Spleen","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",2.052,1.858,2.31,0.0802
"baboon","GSE98965","LIV","Liver","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.851,1.721,2.068,0.0579
"baboon","GSE98965","PAN","Pancreas","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.873,1.744,2.135,0.0411
"baboon","GSE98965","TES","Testis","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.992,1.875,2.2,0.0968
"baboon","GSE98965","OMF","Omental fat","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",2.283,2.165,2.481,0.2317
"baboon","GSE98965","WAM","White adipose, mesenteric","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.809,1.725,2,0.0093
"baboon","GSE98965","WAP","White adipose, pericardial","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",2.199,2.028,2.479,0.114
"baboon","GSE98965","WAR","White adipose, perirenal","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.914,1.791,2.105,0.0079
"baboon","GSE98965","WAS","White adipose, subcutaneous","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.803,1.717,1.94,0.0198
"baboon","GSE98965","WAT","White adipose tissue","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.864,1.736,2.109,0.0454
"baboon","GSE98965","SKI","Skin","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.842,1.715,2.063,0.0567
"baboon","GSE98965","BLA","Bladder","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",2.349,2.216,2.5,0.1829
"baboon","GSE98965","KIC","Kidney cortex","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",2.024,1.923,2.252,0.1183
"baboon","GSE98965","KIM","Kidney medulla","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",2.199,2.043,2.418,0.1199
"baboon","GSE98965","AMY","Amygdala","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.771,1.734,1.928,0.002
"baboon","GSE98965","ARC","Arcuate nucleus","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.877,1.725,2.153,0.018
"baboon","GSE98965","CER","Cerebellum","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.812,1.711,2.119,0.0154
"baboon","GSE98965","HAB","Habenula","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.848,1.746,2.019,0.0429
"baboon","GSE98965","HIP","Hippocampus","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.794,1.711,1.925,0.0211
"baboon","GSE98965","LGP","Lateral globus pallidus","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",2.061,1.949,2.244,0.126
"baboon","GSE98965","LH","Lateral hypothalamus","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.795,1.746,1.974,0.0032
"baboon","GSE98965","MGP","Medial globus pallidus","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",2.369,2.206,2.631,0.1604
"baboon","GSE98965","MMB","Mammillary bodies","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",2.117,2.009,2.351,0.1173
"baboon","GSE98965","OLB","Olfactory bulb","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.835,1.731,2.019,0.0284
"baboon","GSE98965","PON","Pons","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.862,1.764,2.059,0.0693
"baboon","GSE98965","PRA","Preoptic area","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.86,1.7,1.985,0.0079
"baboon","GSE98965","PRC","Prefrontal cortex","active","All",12,4938,0,22,7.21,12,0.92,"2","   0,   2,   4,   6,   8,  10,  12,  14,  16,  18,  20,  22",1.785,1.703,1.924,0.0533
